date,super95,gasoil,heating oil,fuel
02/05/05,419.86,464.84,365.05,216.7
25/04/05,418.19,465.68,362.95,216.7
18/04/05,420.69,471.51,370.33,216.7
11/04/05,431.53,479.01,390.24,216.7
04/04/05,399.03,458.18,377.49,201.7
21/03/05,368.63,434.03,366.79,191.7
14/03/05,379.47,421.53,363.5,181.7
07/03/05,369.47,410.69,360.68,181.7
28/02/05,356.13,400.69,334.56,171.7
21/02/05,350.3,398.19,320.8,161.7
14/02/05,342.8,389.86,318.95,161.7
07/02/05,352.8,401.53,316.08,161.7
31/01/05,354.47,402.36,321.39,156.7
24/01/05,341.13,389.86,310.57,156.7
17/01/05,333.63,386.53,304.48,156.7
10/01/05,331.13,399.03,296.56,156.7
03/01/05,338.63,405.69,306.54,156.7
