date,AMZN,FB,AAPL,GOOGL,MSFT
2015-05-06,419.100006,78.099998,125.010002,535.080017,46.279999
2015-05-07,426.880005,78.43,125.260002,542.039978,46.700001
2015-05-08,433.690002,78.510002,127.620003,548.950012,47.75
2015-05-11,432.850006,78.010002,126.32,545.780029,47.369999
2015-05-12,431.019989,77.459999,125.870003,538.72998,47.349998
2015-05-13,426.869995,78.440002,126.010002,539.48999,47.630001
2015-05-14,432.279999,81.370003,128.949997,549.200012,48.720001
2015-05-15,426.0,80.41999799999998,128.770004,546.48999,48.299999
2015-05-18,425.23999,80.879997,130.190002,546.669983,48.009998
2015-05-19,421.709991,80.629997,130.070007,549.280029,47.580002
2015-05-20,423.859985,80.550003,130.059998,552.51001,47.580002
2015-05-21,431.630005,80.480003,131.389999,556.8099980000002,47.419998
2015-05-22,427.630005,80.540001,132.53999299999998,554.52002,46.900002
2015-05-26,425.470001,79.33000200000002,129.619995,547.1900019999998,46.59
2015-05-27,431.420013,80.550003,132.03999299999998,554.25,47.610001
2015-05-28,426.570007,80.150002,131.779999,554.179993,47.450001
2015-05-29,429.2300110000001,79.190002,130.279999,545.320007,46.860001
2015-06-01,430.920013,80.290001,130.53999299999998,549.210022,47.23
2015-06-02,430.98999,80.440002,129.96000700000002,553.950012,46.919998
2015-06-03,436.589996,82.440002,130.119995,555.289978,46.849998
2015-06-04,430.779999,82.050003,129.360001,551.6900019999998,46.360001
2015-06-05,426.950012,82.139999,128.649994,549.530029,46.139999
2015-06-08,423.5,80.66999799999998,127.800003,543.47998,45.73
2015-06-09,425.4800110000001,80.66999799999998,127.419998,542.159973,45.650002
2015-06-10,430.769989,82.160004,128.880005,552.599976,46.610001
2015-06-11,432.970001,81.83000200000002,128.589996,550.039978,46.439999
2015-06-12,429.920013,81.529999,127.169998,547.469971,45.970001
2015-06-15,423.670013,80.709999,126.919998,543.0,45.48
2015-06-16,427.26001,81.059998,127.599998,544.869995,45.830002
2015-06-17,427.80999800000006,81.790001,127.300003,546.599976,45.970001
2015-06-18,439.39001500000006,82.910004,127.879997,556.179993,46.720001
2015-06-19,434.920013,82.510002,126.599998,557.52002,46.099998
2015-06-22,436.290009,84.739998,127.610001,559.679993,46.23
2015-06-23,445.98999,87.879997,127.029999,563.3900150000002,45.91
2015-06-24,440.839996,88.860001,128.110001,558.570007,45.639999
2015-06-25,440.100006,87.980003,127.5,557.950012,45.650002
2015-06-26,438.100006,88.010002,126.75,553.0599980000002,45.259998
2015-06-29,429.859985,85.800003,124.529999,541.25,44.369999
2015-06-30,434.089996,85.769997,125.43,540.039978,44.150002
2015-07-01,437.39001500000006,86.910004,126.599998,543.299988,44.450001
2015-07-02,437.709991,87.290001,126.440002,547.340027,44.400002
2015-07-06,436.040009,87.550003,126.0,545.619995,44.389999
2015-07-07,436.720001,87.220001,125.690002,550.030029,44.299999
2015-07-08,429.700012,85.650002,122.57,541.700012,44.240002
2015-07-09,434.39001500000006,85.879997,120.07,544.650024,44.52
2015-07-10,443.51001,87.949997,123.279999,556.1099849999998,44.610001
2015-07-13,455.570007,90.099998,125.660004,571.72998,45.540001
2015-07-14,465.570007,89.68,125.610001,584.179993,45.619999
2015-07-15,461.190002,89.760002,126.82,583.960022,45.759998
2015-07-16,475.4800110000001,90.849998,128.509995,601.780029,46.66
2015-07-17,483.01001,94.970001,129.619995,699.619995,46.619999
2015-07-20,488.100006,97.910004,132.070007,692.840027,46.919998
2015-07-21,488.0,98.389999,130.75,695.349976,47.279999
2015-07-22,488.269989,97.040001,125.220001,695.099976,45.540001
2015-07-23,482.179993,95.440002,125.160004,674.72998,46.110001
2015-07-24,529.419983,96.949997,124.5,654.77002,45.939999
2015-07-27,531.409973,94.169998,122.769997,658.27002,45.349998
2015-07-28,526.030029,95.290001,123.379997,659.659973,45.34
2015-07-29,529.0,96.989998,122.989998,661.429993,46.290001
2015-07-30,536.76001,95.209999,122.370003,664.5599980000002,46.880001
2015-07-31,536.150024,94.010002,121.300003,657.5,46.700001
2015-08-03,535.030029,94.139999,118.440002,664.719971,46.810001
2015-08-04,531.900024,94.059998,114.639999,661.280029,47.540001
2015-08-05,537.01001,96.440002,115.400002,673.289978,47.580002
2015-08-06,529.460022,95.120003,115.129997,670.150024,46.619999
2015-08-07,522.619995,94.300003,115.519997,664.3900150000002,46.740002
2015-08-10,524.0,94.150002,119.720001,663.1400150000002,47.330002
2015-08-11,527.460022,93.620003,113.489998,690.299988,46.41
2015-08-12,525.909973,94.190002,115.239998,691.469971,46.740002
2015-08-13,529.659973,93.43,115.150002,686.51001,46.73
2015-08-14,531.52002,94.419998,115.959999,689.369995,47.0
2015-08-17,535.219971,93.93,117.160004,694.1099849999998,47.32
2015-08-18,535.02002,95.169998,116.5,688.72998,47.27
2015-08-19,532.919983,95.309998,115.010002,694.039978,46.610001
2015-08-20,515.780029,90.559998,112.650002,679.47998,45.66
2015-08-21,494.470001,86.059998,105.760002,644.030029,43.07
2015-08-24,463.369995,82.089996,103.120003,618.1099849999998,41.68
2015-08-25,466.369995,83.0,103.739998,612.469971,40.470001
